[2020-07-09 21:16:26,986] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-07-09 21:16:27,046] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-07-10 12:11:55,581] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-07-10 12:11:55,584] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-07-10 12:11:55,584] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-07-10 12:11:55,584] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
[2020-07-10 12:32:51,201] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-07-10 12:32:51,376] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-07-10 12:48:06,995] INFO Shutting down the log cleaner. (kafka.log.LogCleaner)
[2020-07-10 12:48:06,996] INFO [kafka-log-cleaner-thread-0]: Shutting down (kafka.log.LogCleaner)
[2020-07-10 12:48:06,997] INFO [kafka-log-cleaner-thread-0]: Stopped (kafka.log.LogCleaner)
[2020-07-10 12:48:06,997] INFO [kafka-log-cleaner-thread-0]: Shutdown completed (kafka.log.LogCleaner)
